------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 40394
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 56056
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 58862
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-1.0000 sec  1.71 GBytes  14.7 Gbits/sec
[  1] 0.0000-1.0000 sec  1.65 GBytes  14.2 Gbits/sec
[  2] 0.0000-1.0000 sec  1.63 GBytes  14.0 Gbits/sec
[  3] 1.0000-2.0000 sec  1.54 GBytes  13.2 Gbits/sec
[  1] 1.0000-2.0000 sec  1.60 GBytes  13.7 Gbits/sec
[  2] 1.0000-2.0000 sec  1.52 GBytes  13.0 Gbits/sec
[  3] 2.0000-3.0000 sec  1.67 GBytes  14.3 Gbits/sec
[  1] 2.0000-3.0000 sec  1.65 GBytes  14.2 Gbits/sec
[  2] 2.0000-3.0000 sec  1.66 GBytes  14.3 Gbits/sec
[  1] 3.0000-4.0000 sec  1.71 GBytes  14.7 Gbits/sec
[  2] 3.0000-4.0000 sec  1.68 GBytes  14.4 Gbits/sec
[  3] 3.0000-4.0000 sec  1.63 GBytes  14.0 Gbits/sec
[  3] 4.0000-5.0000 sec  1.90 GBytes  16.3 Gbits/sec
[  1] 4.0000-5.0000 sec  1.85 GBytes  15.9 Gbits/sec
[  2] 4.0000-5.0000 sec  1.83 GBytes  15.7 Gbits/sec
[  3] 5.0000-6.0000 sec  2.07 GBytes  17.8 Gbits/sec
[  1] 5.0000-6.0000 sec  2.02 GBytes  17.3 Gbits/sec
[  2] 5.0000-6.0000 sec  1.96 GBytes  16.8 Gbits/sec
[  3] 6.0000-7.0000 sec  1.91 GBytes  16.4 Gbits/sec
[  1] 6.0000-7.0000 sec  2.06 GBytes  17.7 Gbits/sec
[  2] 6.0000-7.0000 sec  1.98 GBytes  17.0 Gbits/sec
[  3] 7.0000-8.0000 sec  1.91 GBytes  16.4 Gbits/sec
[  1] 7.0000-8.0000 sec  2.02 GBytes  17.3 Gbits/sec
[  2] 7.0000-8.0000 sec  2.27 GBytes  19.5 Gbits/sec
[  3] 8.0000-9.0000 sec  1.99 GBytes  17.1 Gbits/sec
[  1] 8.0000-9.0000 sec  1.76 GBytes  15.1 Gbits/sec
[  2] 8.0000-9.0000 sec  1.95 GBytes  16.7 Gbits/sec
[  1] 9.0000-10.0000 sec  2.08 GBytes  17.9 Gbits/sec
[  3] 9.0000-10.0000 sec  1.92 GBytes  16.5 Gbits/sec
[  2] 9.0000-10.0000 sec  1.94 GBytes  16.6 Gbits/sec
[  3] 10.0000-11.0000 sec  1.65 GBytes  14.2 Gbits/sec
[  1] 10.0000-11.0000 sec  2.13 GBytes  18.3 Gbits/sec
[  2] 10.0000-11.0000 sec  1.99 GBytes  17.1 Gbits/sec
[  3] 11.0000-12.0000 sec  1.82 GBytes  15.6 Gbits/sec
[  1] 11.0000-12.0000 sec  2.02 GBytes  17.3 Gbits/sec
[  2] 11.0000-12.0000 sec  1.97 GBytes  16.9 Gbits/sec
[  3] 12.0000-13.0000 sec  2.14 GBytes  18.4 Gbits/sec
[  1] 12.0000-13.0000 sec  2.27 GBytes  19.5 Gbits/sec
[  2] 12.0000-13.0000 sec  2.14 GBytes  18.4 Gbits/sec
[  3] 13.0000-14.0000 sec  2.16 GBytes  18.6 Gbits/sec
[  1] 13.0000-14.0000 sec  2.17 GBytes  18.7 Gbits/sec
[  2] 13.0000-14.0000 sec  2.01 GBytes  17.2 Gbits/sec
[  3] 14.0000-15.0000 sec  2.10 GBytes  18.0 Gbits/sec
[  1] 14.0000-15.0000 sec  2.06 GBytes  17.7 Gbits/sec
[  2] 14.0000-15.0000 sec  2.12 GBytes  18.2 Gbits/sec
[  1] 15.0000-16.0000 sec  1.73 GBytes  14.9 Gbits/sec
[  2] 15.0000-16.0000 sec  2.06 GBytes  17.7 Gbits/sec
[  3] 15.0000-16.0000 sec  2.26 GBytes  19.4 Gbits/sec
[  3] 16.0000-17.0000 sec  2.20 GBytes  18.9 Gbits/sec
[  1] 16.0000-17.0000 sec  2.30 GBytes  19.8 Gbits/sec
[  2] 16.0000-17.0000 sec  1.75 GBytes  15.0 Gbits/sec
[  1] 17.0000-18.0000 sec  2.12 GBytes  18.2 Gbits/sec
[  3] 17.0000-18.0000 sec  2.08 GBytes  17.8 Gbits/sec
[  2] 17.0000-18.0000 sec  2.15 GBytes  18.5 Gbits/sec
[  1] 18.0000-19.0000 sec  2.04 GBytes  17.6 Gbits/sec
[  3] 18.0000-19.0000 sec  1.93 GBytes  16.5 Gbits/sec
[  2] 18.0000-19.0000 sec  2.05 GBytes  17.6 Gbits/sec
[  3] 19.0000-20.0000 sec  2.29 GBytes  19.6 Gbits/sec
[  1] 19.0000-20.0000 sec  2.27 GBytes  19.5 Gbits/sec
[  2] 19.0000-20.0000 sec  2.36 GBytes  20.2 Gbits/sec
[  3] 20.0000-21.0000 sec  2.14 GBytes  18.4 Gbits/sec
[  1] 20.0000-21.0000 sec  2.13 GBytes  18.3 Gbits/sec
[  2] 20.0000-21.0000 sec  1.95 GBytes  16.7 Gbits/sec
[  3] 21.0000-22.0000 sec  1.75 GBytes  15.0 Gbits/sec
[  1] 21.0000-22.0000 sec  1.80 GBytes  15.5 Gbits/sec
[  2] 21.0000-22.0000 sec  2.21 GBytes  19.0 Gbits/sec
[  1] 22.0000-23.0000 sec  1.98 GBytes  17.0 Gbits/sec
[  2] 22.0000-23.0000 sec  1.78 GBytes  15.3 Gbits/sec
[  3] 22.0000-23.0000 sec  2.14 GBytes  18.3 Gbits/sec
[  3] 23.0000-24.0000 sec  2.05 GBytes  17.6 Gbits/sec
[  1] 23.0000-24.0000 sec  1.86 GBytes  16.0 Gbits/sec
[  2] 23.0000-24.0000 sec  1.89 GBytes  16.2 Gbits/sec
[  3] 24.0000-25.0000 sec  2.00 GBytes  17.2 Gbits/sec
[  1] 24.0000-25.0000 sec  1.84 GBytes  15.8 Gbits/sec
[  2] 24.0000-25.0000 sec  1.79 GBytes  15.4 Gbits/sec
[  1] 25.0000-26.0000 sec  1.51 GBytes  13.0 Gbits/sec
[  2] 25.0000-26.0000 sec  2.13 GBytes  18.3 Gbits/sec
[  3] 25.0000-26.0000 sec  2.21 GBytes  19.0 Gbits/sec
[  1] 26.0000-27.0000 sec  2.07 GBytes  17.8 Gbits/sec
[  2] 26.0000-27.0000 sec  1.89 GBytes  16.2 Gbits/sec
[  3] 26.0000-27.0000 sec  1.87 GBytes  16.0 Gbits/sec
[  3] 27.0000-28.0000 sec  2.15 GBytes  18.5 Gbits/sec
[  1] 27.0000-28.0000 sec  2.41 GBytes  20.7 Gbits/sec
[  2] 27.0000-28.0000 sec  1.78 GBytes  15.3 Gbits/sec
[  3] 28.0000-29.0000 sec  2.13 GBytes  18.3 Gbits/sec
