------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 34344
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 41868
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 37494
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-1.0000 sec  2.48 GBytes  21.3 Gbits/sec
[  1] 0.0000-1.0000 sec  2.74 GBytes  23.5 Gbits/sec
[  2] 0.0000-1.0000 sec  2.36 GBytes  20.2 Gbits/sec
[  3] 1.0000-2.0000 sec  3.32 GBytes  28.5 Gbits/sec
[  1] 1.0000-2.0000 sec  4.10 GBytes  35.2 Gbits/sec
[  2] 1.0000-2.0000 sec  3.59 GBytes  30.8 Gbits/sec
[  3] 2.0000-3.0000 sec  3.97 GBytes  34.1 Gbits/sec
[  1] 2.0000-3.0000 sec  3.68 GBytes  31.6 Gbits/sec
[  2] 2.0000-3.0000 sec  4.30 GBytes  37.0 Gbits/sec
[  1] 3.0000-4.0000 sec  4.59 GBytes  39.4 Gbits/sec
[  3] 3.0000-4.0000 sec  3.52 GBytes  30.2 Gbits/sec
[  2] 3.0000-4.0000 sec  3.30 GBytes  28.3 Gbits/sec
[  3] 4.0000-5.0000 sec  3.76 GBytes  32.3 Gbits/sec
[  1] 4.0000-5.0000 sec  3.16 GBytes  27.2 Gbits/sec
[  2] 4.0000-5.0000 sec  4.12 GBytes  35.4 Gbits/sec
[  1] 5.0000-6.0000 sec  1.95 GBytes  16.8 Gbits/sec
[  3] 5.0000-6.0000 sec  1.87 GBytes  16.1 Gbits/sec
[  2] 5.0000-6.0000 sec  2.44 GBytes  21.0 Gbits/sec
[  3] 6.0000-7.0000 sec  2.88 GBytes  24.8 Gbits/sec
[  1] 6.0000-7.0000 sec  3.70 GBytes  31.8 Gbits/sec
[  2] 6.0000-7.0000 sec  3.22 GBytes  27.7 Gbits/sec
[  3] 7.0000-8.0000 sec  3.28 GBytes  28.2 Gbits/sec
[  1] 7.0000-8.0000 sec  3.76 GBytes  32.3 Gbits/sec
[  2] 7.0000-8.0000 sec  3.49 GBytes  30.0 Gbits/sec
[  3] 8.0000-9.0000 sec  3.49 GBytes  29.9 Gbits/sec
[  1] 8.0000-9.0000 sec  3.73 GBytes  32.1 Gbits/sec
[  2] 8.0000-9.0000 sec  3.47 GBytes  29.8 Gbits/sec
[  3] 9.0000-10.0000 sec  3.65 GBytes  31.3 Gbits/sec
[  1] 9.0000-10.0000 sec  3.84 GBytes  33.0 Gbits/sec
[  2] 9.0000-10.0000 sec  3.10 GBytes  26.7 Gbits/sec
[  3] 10.0000-11.0000 sec  1.90 GBytes  16.4 Gbits/sec
[  1] 10.0000-11.0000 sec  1.96 GBytes  16.9 Gbits/sec
[  2] 10.0000-11.0000 sec  2.44 GBytes  20.9 Gbits/sec
[  3] 11.0000-12.0000 sec  1.69 GBytes  14.5 Gbits/sec
[  1] 11.0000-12.0000 sec  1.72 GBytes  14.8 Gbits/sec
[  2] 11.0000-12.0000 sec  2.33 GBytes  20.0 Gbits/sec
[  3] 12.0000-13.0000 sec  1.71 GBytes  14.6 Gbits/sec
[  1] 12.0000-13.0000 sec  1.73 GBytes  14.8 Gbits/sec
[  2] 12.0000-13.0000 sec  2.37 GBytes  20.3 Gbits/sec
[  1] 13.0000-14.0000 sec  2.89 GBytes  24.8 Gbits/sec
[  2] 13.0000-14.0000 sec  2.75 GBytes  23.6 Gbits/sec
[  3] 13.0000-14.0000 sec  3.19 GBytes  27.4 Gbits/sec
[  1] 14.0000-15.0000 sec  3.62 GBytes  31.1 Gbits/sec
[  3] 14.0000-15.0000 sec  3.76 GBytes  32.3 Gbits/sec
[  2] 14.0000-15.0000 sec  3.39 GBytes  29.2 Gbits/sec
[  3] 15.0000-16.0000 sec  3.23 GBytes  27.7 Gbits/sec
[  1] 15.0000-16.0000 sec  3.21 GBytes  27.5 Gbits/sec
[  2] 15.0000-16.0000 sec  2.90 GBytes  24.9 Gbits/sec
[  3] 16.0000-17.0000 sec  2.55 GBytes  21.9 Gbits/sec
[  1] 16.0000-17.0000 sec  2.76 GBytes  23.8 Gbits/sec
[  2] 16.0000-17.0000 sec  2.23 GBytes  19.2 Gbits/sec
[  1] 17.0000-18.0000 sec  3.86 GBytes  33.2 Gbits/sec
[  3] 17.0000-18.0000 sec  3.73 GBytes  32.0 Gbits/sec
[  2] 17.0000-18.0000 sec  3.76 GBytes  32.3 Gbits/sec
[  3] 18.0000-19.0000 sec  4.44 GBytes  38.2 Gbits/sec
[  1] 18.0000-19.0000 sec  4.31 GBytes  37.0 Gbits/sec
[  2] 18.0000-19.0000 sec  3.41 GBytes  29.3 Gbits/sec
[  1] 19.0000-20.0000 sec  3.13 GBytes  26.9 Gbits/sec
[  3] 19.0000-20.0000 sec  3.02 GBytes  25.9 Gbits/sec
[  2] 19.0000-20.0000 sec  3.19 GBytes  27.4 Gbits/sec
[  3] 20.0000-21.0000 sec  3.83 GBytes  32.9 Gbits/sec
[  1] 20.0000-21.0000 sec  4.24 GBytes  36.4 Gbits/sec
[  2] 20.0000-21.0000 sec  3.58 GBytes  30.8 Gbits/sec
[  3] 21.0000-22.0000 sec  3.46 GBytes  29.7 Gbits/sec
[  1] 21.0000-22.0000 sec  3.15 GBytes  27.1 Gbits/sec
[  2] 21.0000-22.0000 sec  2.72 GBytes  23.4 Gbits/sec
[  3] 22.0000-23.0000 sec  1.87 GBytes  16.1 Gbits/sec
[  1] 22.0000-23.0000 sec  2.69 GBytes  23.1 Gbits/sec
[  2] 22.0000-23.0000 sec  1.85 GBytes  15.9 Gbits/sec
[  1] 23.0000-24.0000 sec  1.74 GBytes  14.9 Gbits/sec
[  3] 23.0000-24.0000 sec  1.72 GBytes  14.7 Gbits/sec
[  2] 23.0000-24.0000 sec  2.37 GBytes  20.4 Gbits/sec
[  1] 24.0000-25.0000 sec  1.72 GBytes  14.8 Gbits/sec
[  3] 24.0000-25.0000 sec  2.34 GBytes  20.1 Gbits/sec
[  2] 24.0000-25.0000 sec  1.76 GBytes  15.1 Gbits/sec
[  3] 25.0000-26.0000 sec  2.37 GBytes  20.3 Gbits/sec
[  1] 25.0000-26.0000 sec  1.70 GBytes  14.6 Gbits/sec
[  2] 25.0000-26.0000 sec  1.82 GBytes  15.7 Gbits/sec
[  3] 26.0000-27.0000 sec  3.48 GBytes  29.9 Gbits/sec
[  1] 26.0000-27.0000 sec  3.94 GBytes  33.9 Gbits/sec
[  2] 26.0000-27.0000 sec  3.68 GBytes  31.6 Gbits/sec
[  3] 27.0000-28.0000 sec  3.25 GBytes  27.9 Gbits/sec
[  1] 27.0000-28.0000 sec  4.40 GBytes  37.8 Gbits/sec
[  2] 27.0000-28.0000 sec  3.67 GBytes  31.5 Gbits/sec
[  3] 28.0000-29.0000 sec  3.41 GBytes  29.3 Gbits/sec
[  1] 28.0000-29.0000 sec  3.93 GBytes  33.7 Gbits/sec
[  2] 28.0000-29.0000 sec  3.81 GBytes  32.8 Gbits/sec
[  3] 29.0000-29.9967 sec  3.37 GBytes  29.1 Gbits/sec
[  3] 0.0000-29.9967 sec  90.5 GBytes  25.9 Gbits/sec
[  2] 29.0000-29.9970 sec  4.02 GBytes  34.6 Gbits/sec
[  2] 0.0000-29.9970 sec  91.4 GBytes  26.2 Gbits/sec
[  1] 29.0000-30.0000 sec  4.10 GBytes  35.3 Gbits/sec
[  1] 0.0000-30.0034 sec  96.1 GBytes  27.5 Gbits/sec
