------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 53542
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  4.87 GBytes  41.9 Gbits/sec
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 41892
[  1] 1.0000-2.0000 sec  4.29 GBytes  36.9 Gbits/sec
[  2] 0.0000-1.0000 sec  3.55 GBytes  30.5 Gbits/sec
[  1] 2.0000-3.0000 sec  3.58 GBytes  30.7 Gbits/sec
[  2] 1.0000-2.0000 sec  3.67 GBytes  31.5 Gbits/sec
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 46006
[  1] 3.0000-4.0000 sec  3.14 GBytes  27.0 Gbits/sec
[  2] 2.0000-3.0000 sec  2.83 GBytes  24.3 Gbits/sec
[  3] 0.0000-1.0000 sec  2.80 GBytes  24.1 Gbits/sec
[  1] 4.0000-5.0000 sec  2.67 GBytes  23.0 Gbits/sec
[  2] 3.0000-4.0000 sec  2.53 GBytes  21.7 Gbits/sec
[  3] 1.0000-2.0000 sec  2.78 GBytes  23.9 Gbits/sec
[  1] 5.0000-6.0000 sec  2.80 GBytes  24.1 Gbits/sec
[  2] 4.0000-5.0000 sec  2.62 GBytes  22.5 Gbits/sec
[  3] 2.0000-3.0000 sec  2.73 GBytes  23.4 Gbits/sec
[  1] 6.0000-7.0000 sec  2.94 GBytes  25.2 Gbits/sec
[  2] 5.0000-6.0000 sec  2.09 GBytes  17.9 Gbits/sec
[  3] 3.0000-4.0000 sec  2.06 GBytes  17.7 Gbits/sec
[  1] 7.0000-8.0000 sec  2.02 GBytes  17.3 Gbits/sec
[  2] 6.0000-7.0000 sec  2.27 GBytes  19.5 Gbits/sec
[  3] 4.0000-5.0000 sec  2.27 GBytes  19.5 Gbits/sec
[  1] 8.0000-9.0000 sec  3.05 GBytes  26.2 Gbits/sec
[  2] 7.0000-8.0000 sec  2.54 GBytes  21.8 Gbits/sec
[  3] 5.0000-6.0000 sec  3.22 GBytes  27.6 Gbits/sec
[  1] 9.0000-10.0000 sec  3.00 GBytes  25.7 Gbits/sec
[  2] 8.0000-9.0000 sec  2.56 GBytes  22.0 Gbits/sec
[  3] 6.0000-7.0000 sec  2.47 GBytes  21.2 Gbits/sec
[  1] 10.0000-11.0000 sec  3.07 GBytes  26.4 Gbits/sec
