------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 48702
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 35962
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 34368
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-1.0000 sec  3.87 GBytes  33.2 Gbits/sec
[  1] 0.0000-1.0000 sec  3.21 GBytes  27.6 Gbits/sec
[  2] 0.0000-1.0000 sec  3.82 GBytes  32.8 Gbits/sec
[  3] 1.0000-2.0000 sec  3.33 GBytes  28.6 Gbits/sec
[  1] 1.0000-2.0000 sec  4.47 GBytes  38.4 Gbits/sec
[  2] 1.0000-2.0000 sec  4.03 GBytes  34.7 Gbits/sec
[  1] 2.0000-3.0000 sec  4.17 GBytes  35.9 Gbits/sec
[  2] 2.0000-3.0000 sec  4.30 GBytes  37.0 Gbits/sec
[  3] 2.0000-3.0000 sec  4.07 GBytes  35.0 Gbits/sec
[  3] 3.0000-4.0000 sec  4.30 GBytes  36.9 Gbits/sec
[  1] 3.0000-4.0000 sec  4.01 GBytes  34.5 Gbits/sec
[  2] 3.0000-4.0000 sec  3.53 GBytes  30.3 Gbits/sec
[  1] 4.0000-5.0000 sec  4.27 GBytes  36.7 Gbits/sec
[  3] 4.0000-5.0000 sec  4.27 GBytes  36.6 Gbits/sec
[  2] 4.0000-5.0000 sec  3.23 GBytes  27.7 Gbits/sec
[  3] 5.0000-6.0000 sec  4.28 GBytes  36.7 Gbits/sec
[  1] 5.0000-6.0000 sec  4.22 GBytes  36.3 Gbits/sec
[  2] 5.0000-6.0000 sec  3.70 GBytes  31.8 Gbits/sec
[  3] 6.0000-7.0000 sec  4.36 GBytes  37.4 Gbits/sec
[  1] 6.0000-7.0000 sec  4.20 GBytes  36.1 Gbits/sec
[  2] 6.0000-7.0000 sec  3.73 GBytes  32.0 Gbits/sec
[  1] 7.0000-8.0000 sec  4.42 GBytes  38.0 Gbits/sec
[  3] 7.0000-8.0000 sec  4.03 GBytes  34.6 Gbits/sec
[  2] 7.0000-8.0000 sec  3.68 GBytes  31.6 Gbits/sec
[  3] 8.0000-9.0000 sec  3.87 GBytes  33.3 Gbits/sec
[  1] 8.0000-9.0000 sec  4.60 GBytes  39.5 Gbits/sec
[  2] 8.0000-9.0000 sec  3.72 GBytes  32.0 Gbits/sec
[  1] 9.0000-10.0000 sec  3.53 GBytes  30.3 Gbits/sec
[  3] 9.0000-10.0000 sec  3.98 GBytes  34.1 Gbits/sec
[  2] 9.0000-10.0000 sec  3.18 GBytes  27.3 Gbits/sec
[  3] 10.0000-11.0000 sec  3.68 GBytes  31.6 Gbits/sec
[  1] 10.0000-11.0000 sec  3.67 GBytes  31.5 Gbits/sec
[  2] 10.0000-11.0000 sec  4.02 GBytes  34.5 Gbits/sec
[  3] 11.0000-12.0000 sec  4.34 GBytes  37.3 Gbits/sec
[  1] 11.0000-12.0000 sec  3.94 GBytes  33.9 Gbits/sec
[  2] 11.0000-12.0000 sec  3.44 GBytes  29.5 Gbits/sec
[  1] 12.0000-13.0000 sec  5.16 GBytes  44.3 Gbits/sec
[  3] 12.0000-13.0000 sec  3.52 GBytes  30.2 Gbits/sec
[  2] 12.0000-13.0000 sec  4.00 GBytes  34.4 Gbits/sec
[  3] 13.0000-14.0000 sec  3.97 GBytes  34.1 Gbits/sec
[  1] 13.0000-14.0000 sec  4.87 GBytes  41.8 Gbits/sec
[  2] 13.0000-14.0000 sec  3.67 GBytes  31.6 Gbits/sec
[  3] 14.0000-15.0000 sec  4.10 GBytes  35.2 Gbits/sec
[  1] 14.0000-15.0000 sec  4.06 GBytes  34.9 Gbits/sec
[  2] 14.0000-15.0000 sec  3.59 GBytes  30.9 Gbits/sec
[  3] 15.0000-16.0000 sec  2.97 GBytes  25.5 Gbits/sec
[  1] 15.0000-16.0000 sec  3.02 GBytes  25.9 Gbits/sec
